
307750,대신밸런스제6호스팩,분석 제외 대상
261200,덴티스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
025950,동신건설,분석 제외 대상
301300,바이브컴퍼니,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
226330,신테카바이오,Error on calculate_srim : not enough ROE history
323230,신한제5호스팩,분석 제외 대상
298380,에이비엘바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
060850,영림원소프트랩,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
030530,원익홀딩스,분석 제외 대상
264450,유비쿼스,Error on calculate_srim : not enough ROE history
313750,유안타제4호스팩,분석 제외 대상
039020,이건홀딩스,분석 제외 대상
035080,인터파크,분석 제외 대상
317530,캐리소프트,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
323940,케이비제18호스팩,분석 제외 대상
190650,코리아에셋투자증권,분석 제외 대상
124560,태웅로직스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
322180,티라유텍,Error on calculate_srim : not enough ROE history
332710,하나금융14호스팩,분석 제외 대상
343510,하나금융16호스팩,분석 제외 대상
299030,하나기술,Error on parse_fnguide : could not convert string to float: ''
317240,하이제4호스팩,분석 제외 대상
291210,한국제7호스팩,분석 제외 대상
039670,한류타임즈,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
343090,단디바이오,Error on calculate_srim : not enough ROE history
322970,무진메디,Error on calculate_srim : not enough ROE history
217910,에스제이켐,Error on calculate_srim : not enough ROE history
001510,SK증권,분석 제외 대상
094800,맵스리얼티1,Error on parse_fnguide : list index out of range
155900,바다로19호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
002030,아세아,분석 제외 대상
140910,에이리츠,분석 제외 대상
009970,영원무역홀딩스,분석 제외 대상
001200,유진증권,분석 제외 대상
344820,케이씨씨글라스,Error on parse_fnguide : Neither IFRS(연결) nor GAAP(연결)
039490,키움증권,분석 제외 대상
001750,한양증권,분석 제외 대상
097230,한진중공업,Error on calculate_srim : could not convert string to float: '완전잠식'
003480,한진중공업홀딩스,분석 제외 대상
307070,SK4호스팩,분석 제외 대상
348150,고바이오랩,Error on calculate_srim : not enough ROE history
253590,네오셈,Error on calculate_srim : not enough ROE history
042420,네오위즈홀딩스,분석 제외 대상
332290,대신밸런스제7호스팩,분석 제외 대상
206400,베노홀딩스,분석 제외 대상
347000,센코,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
307180,아이엘사이언스,Error on calculate_srim : could not convert string to float: '완전잠식'
298060,에스씨엠생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
353070,에이치엠씨제4호스팩,분석 제외 대상
347890,엠투아이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
072470,우리산업홀딩스,분석 제외 대상
103840,우양,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
035810,이지홀딩스,분석 제외 대상
307930,컴퍼니케이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
340570,티앤엘,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
056730,포스링크,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
031980,피에스케이홀딩스,분석 제외 대상
304840,피플바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
106080,하이소닉,Error on calculate_srim : could not convert string to float: '완전잠식'
251280,안지오랩,Error on calculate_srim : could not convert string to float: '완전잠식'
084440,유비온,Error on calculate_srim : could not convert string to float: '완전잠식'
006840,AK홀딩스,분석 제외 대상
001040,CJ,분석 제외 대상
139130,DGB금융지주,분석 제외 대상
001940,KISCO홀딩스,분석 제외 대상
003550,LG,분석 제외 대상
338100,NH프라임리츠,분석 제외 대상
036530,S&T홀딩스,분석 제외 대상
012320,경동인베스트,분석 제외 대상
016710,대성홀딩스,분석 제외 대상
280360,롯데제과,Error on calculate_srim : not enough ROE history
034300,신세계건설,분석 제외 대상
001720,신영증권,분석 제외 대상
900140,엘브이엠씨,분석 제외 대상
316140,우리금융지주,분석 제외 대상
003470,유안타증권,분석 제외 대상
264900,크라운제과,Error on calculate_srim : not enough ROE history
005740,크라운해태홀딩스,분석 제외 대상
172580,하이골드12호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
351320,IBKS제14호스팩,분석 제외 대상
950180,SNK,Error on calculate_srim : not enough ROE history
311390,네오크레마,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
317120,라닉스,Error on calculate_srim : not enough ROE history
300120,라온피플,Error on calculate_srim : not enough ROE history
235980,메드팩토,Error on calculate_srim : not enough ROE history
333430,미래에셋대우스팩4호,Error on calculate_srim : not enough ROE history
323990,박셀바이오,Error on calculate_srim : not enough ROE history
288330,브릿지바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
258790,소프트캠프,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
262260,에이프로,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
310840,엔에이치스팩13호,Error on calculate_srim : not enough ROE history
244460,올리패스,Error on calculate_srim : could not convert string to float: '완전잠식'
332570,와이팜,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
322510,제이엘케이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
317030,케이비17호스팩,분석 제외 대상
007330,푸른저축은행,분석 제외 대상
340440,한화플러스제1호스팩,분석 제외 대상
183410,골프존데카,Error on calculate_srim : could not convert string to float: '완전잠식'
179530,애드바이오텍,Error on calculate_srim : not enough ROE history
246250,에스엘에스바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
093510,엔지브이아이,Error on calculate_srim : not enough ROE history
225860,엠앤씨생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
337840,유엑스엔,Error on calculate_srim : not enough ROE history
341310,이앤에치,Error on calculate_srim : not enough ROE history
140290,청광건설,분석 제외 대상
327610,펨토바이오메드,Error on calculate_srim : not enough ROE history
000590,CS홀딩스,분석 제외 대상
009440,KC그린홀딩스,분석 제외 대상
092230,KPX홀딩스,분석 제외 대상
267290,경동도시가스,Error on calculate_srim : not enough ROE history
003540,대신증권,분석 제외 대상
003090,대웅,분석 제외 대상
005960,동부건설,분석 제외 대상
268280,미원에스씨,Error on calculate_srim : not enough ROE history
000180,성창기업지주,분석 제외 대상
002790,아모레퍼시픽그룹,분석 제외 대상
025530,에스제이엠홀딩스,분석 제외 대상
000230,일동홀딩스,분석 제외 대상
015860,일진홀딩스,분석 제외 대상
317400,자이에스앤디,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
348950,제이알글로벌리츠,분석 제외 대상
035000,지투알,분석 제외 대상
153360,하이골드3호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
152550,한국ANKOR유전,Error on parse_fnguide : list index out of range
081660,휠라홀딩스,분석 제외 대상
353490,미래에셋대우스팩 5호,Error on calculate_srim : not enough ROE history
950190,미투젠,Error on calculate_srim : not enough ROE history
309930,삼성머스트스팩3호,Error on calculate_srim : not enough ROE history
307870,상상인이안1호스팩,분석 제외 대상
331920,셀레믹스,Error on calculate_srim : not enough ROE history
299660,셀리드,Error on calculate_srim : could not convert string to float: '완전잠식'
950200,소마젠,Error on calculate_srim : not enough ROE history
357780,솔브레인,Error on parse_fnguide : Neither IFRS(연결) nor GAAP(연결)
054800,아이디스홀딩스,분석 제외 대상
027360,아주IB투자,Error on calculate_srim : not enough ROE history
117670,알파홀딩스,분석 제외 대상
293780,압타바이오,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
312610,에이에프더블류,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
016250,이테크건설,분석 제외 대상
321550,티움바이오,Error on calculate_srim : not enough ROE history
318010,팜스빌,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
310870,한국제8호스팩,분석 제외 대상
317320,한화에스비아이스팩,분석 제외 대상
348840,데이드림엔터,Error on calculate_srim : not enough ROE history
267060,명진홀딩스,분석 제외 대상
122830,원포유,Error on calculate_srim : not enough ROE history
327970,케어룸의료산업,Error on calculate_srim : not enough ROE history
309900,티티씨디펜스,Error on calculate_srim : not enough ROE history
027410,BGF,분석 제외 대상
030210,KTB투자증권,분석 제외 대상
071970,STX중공업,Error on calculate_srim : could not convert string to float: '완전잠식'
282690,동아타이어,Error on calculate_srim : not enough ROE history
330590,롯데리츠,분석 제외 대상
138040,메리츠금융지주,분석 제외 대상
003030,세아제강지주,분석 제외 대상
001800,오리온홀딩스,분석 제외 대상
334890,이지스밸류플러스리츠,분석 제외 대상
002020,코오롱,분석 제외 대상
004870,티웨이홀딩스,분석 제외 대상
010770,평화홀딩스,분석 제외 대상
000140,하이트진로홀딩스,분석 제외 대상
003530,한화투자증권,분석 제외 대상
267250,현대중공업지주,분석 제외 대상
335890,IBKS제11호스팩,분석 제외 대상
335870,IBKS제12호스팩,분석 제외 대상
290660,네오펙트,Error on calculate_srim : could not convert string to float: '완전잠식'
317850,대모,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
291230,삼성스팩2호,Error on calculate_srim : not enough ROE history
036710,심텍홀딩스,분석 제외 대상
125210,아모그린텍,Error on calculate_srim : could not convert string to float: '완전잠식'
052770,아이톡시,Error on calculate_srim : could not convert string to float: '완전잠식'
158430,아톤,Error on calculate_srim : not enough ROE history
291650,압타머사이언스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
359090,엔에이치스팩17호,Error on parse_fnguide : Neither IFRS(연결) nor GAAP(연결)
086250,이노와이즈,Error on calculate_srim : not enough ROE history
078020,이베스트투자증권,분석 제외 대상
051780,큐로홀딩스,분석 제외 대상
307160,하나머스트제6호스팩,분석 제외 대상
003380,하림지주,분석 제외 대상
340120,하이제5호스팩,분석 제외 대상
266170,뿌리깊은나무들,Error on calculate_srim : could not convert string to float: '완전잠식'
258540,스템랩,Error on calculate_srim : could not convert string to float: '완전잠식'
203400,에이비온,Error on calculate_srim : could not convert string to float: '완전잠식'
179720,옐로페이,Error on calculate_srim : could not convert string to float: '완전잠식'
078930,GS,분석 제외 대상
175330,JB금융지주,분석 제외 대상
