code,name,reason
306200,세아제강,Error on calculate_srim : not enough ROE history
002790,아모레퍼시픽그룹,분석 제외 대상
003460,유화증권,분석 제외 대상
145270,케이탑리츠,분석 제외 대상
363280,티와이홀딩스,분석 제외 대상
005810,풍산홀딩스,분석 제외 대상
024720,한국콜마홀딩스,분석 제외 대상
060980,한라홀딩스,분석 제외 대상
004150,한솔홀딩스,분석 제외 대상
000880,한화,분석 제외 대상
950170,JTC,분석 제외 대상
021320,KCC건설,분석 제외 대상
950110,SBI핀테크솔루션즈,분석 제외 대상
331520,교보9호스팩,분석 제외 대상
307750,국전약품,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
267320,나인테크,Error on calculate_srim : could not convert string to float: '완전잠식'
330860,네패스아크,Error on calculate_srim : not enough ROE history
900100,뉴프라이드,분석 제외 대상
299170,더블유에스아이,Error on calculate_srim : not enough ROE history
025950,동신건설,분석 제외 대상
261200,덴티스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
294140,레몬,Error on calculate_srim : could not convert string to float: '완전잠식'
301300,바이브컴퍼니,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
226330,신테카바이오,Error on calculate_srim : not enough ROE history
052770,아이톡시,Error on calculate_srim : could not convert string to float: '완전잠식'
347860,알체라,Error on calculate_srim : not enough ROE history
060850,영림원소프트랩,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
313750,유안타제4호스팩,분석 제외 대상
264450,유비쿼스,Error on calculate_srim : not enough ROE history
039020,이건홀딩스,분석 제외 대상
035080,인터파크,분석 제외 대상
323940,케이비제18호스팩,분석 제외 대상
317530,캐리소프트,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
190650,코리아에셋투자증권,분석 제외 대상
124560,태웅로직스,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
356860,티엘비,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
332710,하나금융14호스팩,분석 제외 대상
343510,하나금융16호스팩,분석 제외 대상
023760,한국캐피탈,분석 제외 대상
343090,단디바이오,Error on calculate_srim : not enough ROE history
322970,무진메디,Error on calculate_srim : not enough ROE history
223220,아이피몬스터,Error on calculate_srim : could not convert string to float: '완전잠식'
217910,에스제이켐,Error on calculate_srim : not enough ROE history
365550,ESR켄달스퀘어리츠,분석 제외 대상
092230,KPX홀딩스,분석 제외 대상
001510,SK증권,분석 제외 대상
094800,맵스리얼티1,Error on parse_fnguide : list index out of range
155900,바다로19호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
002030,아세아,분석 제외 대상
140910,에이리츠,분석 제외 대상
009970,영원무역홀딩스,분석 제외 대상
001200,유진증권,분석 제외 대상
344820,케이씨씨글라스,Error on calculate_srim : not enough ROE history
001750,한양증권,분석 제외 대상
003480,한진중공업홀딩스,분석 제외 대상
097230,한진중공업,Error on calculate_srim : could not convert string to float: '완전잠식'
373200,IBKS제15호스팩,분석 제외 대상
307070,SK4호스팩,분석 제외 대상
950180,SNK,분석 제외 대상
253590,네오셈,Error on calculate_srim : not enough ROE history
042420,네오위즈홀딩스,분석 제외 대상
332290,대신밸런스제7호스팩,분석 제외 대상
035290,더블유에프엠,"Error on organize_result : ufunc 'add' did not contain a loop with signature matching types (dtype('<U32'), dtype('<U32')) -> dtype('<U32')"
235980,메드팩토,Error on calculate_srim : not enough ROE history
206400,베노홀딩스,분석 제외 대상
323990,박셀바이오,Error on calculate_srim : not enough ROE history
347000,센코,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
366330,신한제7호스팩,분석 제외 대상
307180,아이엘사이언스,Error on calculate_srim : could not convert string to float: '완전잠식'
900080,에스앤씨엔진그룹,분석 제외 대상
298060,에스씨엠생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
353070,에이치엠씨제4호스팩,분석 제외 대상
347890,엠투아이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
900300,오가닉티코스메틱,분석 제외 대상
309930,오하임아이엔티,Error on calculate_srim : not enough ROE history
072470,우리산업홀딩스,분석 제외 대상
103840,우양,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
307280,원바이오젠,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
035810,이지홀딩스,분석 제외 대상
307930,컴퍼니케이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
016600,큐캐피탈,분석 제외 대상
340570,티앤엘,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
056730,포스링크,Error on calculate_srim : can't multiply sequence by non-int of type 'numpy.float64'
031980,피에스케이홀딩스,분석 제외 대상
304840,피플바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
106080,하이소닉,Error on calculate_srim : could not convert string to float: '완전잠식'
900270,헝셩그룹,분석 제외 대상
251280,안지오랩,Error on calculate_srim : could not convert string to float: '완전잠식'
006840,AK홀딩스,분석 제외 대상
001040,CJ,분석 제외 대상
016610,DB금융투자,분석 제외 대상
139130,DGB금융지주,분석 제외 대상
001940,KISCO홀딩스,분석 제외 대상
003550,LG,분석 제외 대상
338100,NH프라임리츠,분석 제외 대상
302440,SK바이오사이언스,Error on calculate_srim : not enough ROE history
