code,name,reason
343090,단디바이오,Error on calculate_srim : not enough ROE history
322970,무진메디,Error on calculate_srim : not enough ROE history
217910,에스제이켐,Error on calculate_srim : not enough ROE history
001510,SK증권,분석 제외 대상
094800,맵스리얼티1,Error on parse_fnguide : list index out of range
155900,바다로19호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
140910,에이리츠,분석 제외 대상
001200,유진증권,분석 제외 대상
344820,케이씨씨글라스,Error on parse_fnguide : Neither IFRS(연결) nor GAAP(연결)
039490,키움증권,분석 제외 대상
001750,한양증권,분석 제외 대상
097230,한진중공업,Error on calculate_srim : could not convert string to float: '완전잠식'
307070,SK4호스팩,분석 제외 대상
253590,네오셈,Error on calculate_srim : not enough ROE history
332290,대신밸런스제7호스팩,분석 제외 대상
307180,아이엘사이언스,Error on calculate_srim : could not convert string to float: '완전잠식'
298060,에스씨엠생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
353070,에이치엠씨제4호스팩,분석 제외 대상
347890,엠투아이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
103840,우양,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
307930,컴퍼니케이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
106080,하이소닉,Error on calculate_srim : could not convert string to float: '완전잠식'
251280,안지오랩,Error on calculate_srim : could not convert string to float: '완전잠식'
084440,유비온,Error on calculate_srim : could not convert string to float: '완전잠식'
338100,NH프라임리츠,분석 제외 대상
280360,롯데제과,Error on calculate_srim : not enough ROE history
001720,신영증권,분석 제외 대상
003470,유안타증권,분석 제외 대상
264900,크라운제과,Error on calculate_srim : not enough ROE history
172580,하이골드12호,Error on parse_fnguide : Cannot remove 1 levels from an index with 1 levels: at least one level must be left.
335890,IBKS제11호스팩,분석 제외 대상
351320,IBKS제14호스팩,분석 제외 대상
950180,SNK,Error on calculate_srim : not enough ROE history
311390,네오크레마,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
317120,라닉스,Error on calculate_srim : not enough ROE history
300120,라온피플,Error on calculate_srim : not enough ROE history
235980,메드팩토,Error on calculate_srim : not enough ROE history
333430,미래에셋대우스팩4호,분석 제외 대상
288330,브릿지바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
258790,소프트캠프,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
262260,에이프로,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
310840,엔에이치스팩13호,분석 제외 대상
244460,올리패스,Error on calculate_srim : could not convert string to float: '완전잠식'
332570,와이팜,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
322510,제이엘케이,Error on calculate_srim : could not convert string to float: 'N/A(IFRS)'
317030,케이비17호스팩,분석 제외 대상
007330,푸른저축은행,분석 제외 대상
340440,한화플러스제1호스팩,분석 제외 대상
183410,골프존데카,Error on calculate_srim : could not convert string to float: '완전잠식'
179530,애드바이오텍,Error on calculate_srim : not enough ROE history
246250,에스엘에스바이오,Error on calculate_srim : could not convert string to float: '완전잠식'
093510,엔지브이아이,Error on calculate_srim : not enough ROE history
225860,엠앤씨생명과학,Error on calculate_srim : could not convert string to float: '완전잠식'
