code,name,현재가,매수가격,적정가격,매도가격,매수가격예상수익률(%),적정가격예상수익률(%),매도가격예상수익률(%),ROE(%),ROE기준,배당수익률(%),배당성향(%),CF위험(회),CF이익비율-3,CF이익비율-2,CF이익비율-1,CF이익비율0,업종,주요제품
155660,DSR,5930,9114,8739,7418,53.7,47.37,25.1,6.12,2019/12,1.09,9.16,0,0.46,0.46,1.29,1.23,1차 비철금속 제조업,합섬섬유로프
001250,GS글로벌,2010,2788,1612,-2529,38.71,-19.79,-225.84,-4.61,2019/12,NaN,-0.0,1,1.7,-0.18,0.57,2.2,상품 종합 도매업,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
294870,HDC현대산업개발,21000,37983,41085,52009,80.87,95.64,147.66,12.18,2022/12(E),2.1,5.31,1,NaN,1.43,-0.22,0.76,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
001390,KG케미칼,19750,33108,38297,56572,67.63,93.91,186.44,17.11,2019/12,2.92,4.62,0,2.49,0.81,1.24,0.45,기초 화학물질 제조업,"콘크리트혼화제, 비료, 친환경농자재, 수처리제"
011070,LG이노텍,161500,116470,134016,195815,-27.88,-17.02,21.25,16.67,2022/12(E),0.21,6.94,0,1.5,4.03,1.91,1.09,전자부품 제조업,기타 전자부품 제조업
066570,LG전자,88600,89277,96826,123414,0.76,9.28,39.29,12.35,2022/12(E),1.04,433.53,0,0.88,1.68,1.51,1.22,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기"
037560,LG헬로비전,3900,10922,9897,6289,180.04,153.77,61.25,4.06,2022/12(E),1.24,-6.16,0,3.86,3.91,8.58,NaN,텔레비전 방송업,"케이블TV, 인터넷서비스 등"
010060,OCI,68800,103392,98033,79158,50.28,42.49,15.06,5.68,2022/12(E),NaN,-0.0,0,1.69,4.26,0.22,-0.07,기초 화학물질 제조업,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
100840,S&TC,15700,28809,25929,15784,83.5,65.15,0.53,3.83,2019/12,4.04,38.87,2,-0.29,-7.58,-2.29,2.68,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조"
064960,S&T모티브,52000,53460,55813,64104,2.81,7.33,23.28,10.1,2022/12(E),3.27,843.37,0,0.73,1.55,1.11,1.36,자동차 신품 부품 제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
096770,SK이노베이션,160000,163600,146447,86030,2.25,-8.47,-46.23,3.66,2022/12(E),2.0,-787.4,0,0.68,0.81,1.44,-0.5,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
024070,WISCOM,2465,6153,4990,893,149.62,102.44,-63.76,0.92,2019/12,1.88,71.43,0,16.67,-12.0,4.88,-4.33,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공"
037270,YG PLUS,5590,1048,681,-611,-81.25,-87.82,-110.93,-3.16,2019/12,NaN,-0.0,0,0.72,5.35,-inf,4.28,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작"
011420,갤럭시아에스엠,1400,134,-361,-2104,-90.45,-125.8,-250.28,-21.08,2019/12,NaN,-0.0,0,2.11,0.42,-1.8,NaN,스포츠 서비스업,"스포츠중계권,스포츠마케팅,광고"
010130,고려아연,394500,368415,377849,411076,-6.61,-4.22,4.2,9.16,2022/12(E),3.29,41.74,0,0.89,1.16,0.86,0.51,1차 비철금속 제조업,"연,아연괴 제조,판매"
014530,극동유화,3410,5061,5239,5867,48.41,53.64,72.05,9.65,2019/12,4.64,38.83,0,0.3,0.67,0.18,2.23,석유 정제품 제조업,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소"
013700,까뮤이앤씨,2145,1837,2038,2746,-14.34,-4.97,28.02,13.87,2019/12,2.36,10.03,1,0.81,-1.66,0.51,NaN,건물 건설업,"토목공사,건축공사/부동산 임대"
008060,대덕,6530,36573,41805,60234,460.07,540.2,822.42,16.13,2019/12,2.86,37.78,0,2.25,1.09,3.86,-27.4,전자부품 제조업,"산업용 인쇄회로기판,다층 인쇄회로기판,빌드업기판,반도체패키지기판,메모리모듈기판 제조"
014160,대영포장,1230,1310,1252,1045,6.53,1.76,-15.07,5.97,2019/12,NaN,0.0,0,-0.63,1.72,2.16,NaN,"골판지, 종이 상자 및 종이용기 제조업","골판지원단,골판지상자 제조"
006650,대한유화,247000,291109,304260,350579,17.86,23.18,41.93,10.16,2022/12(E),2.13,15.28,0,0.8,1.1,2.02,2.21,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,나프타분해유분,올레핀류,혼합C4류,분해가솔린 제조"
000150,두산,53300,74515,75679,79778,39.8,41.99,49.68,8.67,2022/12(E),7.4,28.54,1,0.58,0.87,0.62,-1.69,회사 본부 및 경영 컨설팅 서비스업,"동박적층판 등 제조 및 판매, 유압기기 등 제조 및 판매, 지게차 제조 및 판매, IT 시스템 개발/운영 서비스 등, 연료전지 등"
241560,두산밥캣,32050,38396,37421,33986,19.8,16.76,6.04,6.79,2022/12(E),3.49,44.22,0,0.95,1.34,1.02,0.91,특수 목적용 기계 제조업,"Compact Equipment, Heavy Equipment, Portable Power"
115390,락앤락,10750,10873,9347,3970,1.14,-13.06,-63.07,2.44,2019/12,NaN,0.0,0,0.68,1.4,1.67,7.22,플라스틱제품 제조업,플라스틱 밀폐용기
027740,마니커,702,152,-68,-839,-78.4,-109.62,-219.57,-15.03,2019/12,NaN,-0.0,0,1.78,7.6,0.23,0.42,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행"
204320,만도,44600,36490,39724,51111,-18.18,-10.93,14.6,12.59,2022/12(E),1.56,23.36,0,3.32,1.45,1.25,33.41,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치"
006400,삼성SDI,552000,178223,180563,188804,-67.71,-67.29,-65.8,8.55,2022/12(E),0.42,19.74,1,-2.14,0.36,2.0,3.0,일차전지 및 축전지 제조업,"칼라브라운관,PDP,평판표시관,모니터,휴대용 디스플레이,폴리머전지(2차전지),초박형브라운관,전계발광소자 제조,판매"
028050,삼성엔지니어링,13800,8355,9564,13821,-39.45,-30.69,0.15,16.24,2022/12(E),NaN,0.0,2,-2.86,2.16,2.03,-0.84,"건축기술, 엔지니어링 및 관련 기술 서비스업","산업설비,건물,구축물,토목시설의 설계,시공,공사감리"
010140,삼성중공업,6740,6698,5475,1165,-0.62,-18.78,-82.71,1.11,2022/12(E),NaN,-0.0,0,-1.03,-0.4,1.1,0.57,선박 및 보트 건조업,"선박(벌크선,원유운반선),철구조물,에너지플랜트 생산,판매/토목건축업"
068290,삼성출판사,25550,7926,7065,4032,-68.98,-72.35,-84.22,3.52,2019/12,0.39,20.53,0,0.54,2.97,7.58,-16.91,"서적, 잡지 및 기타 인쇄물 출판업","서적 출판,인쇄,소매/부동산 임대"
000810,삼성화재해상보험,205000,258654,240492,176522,26.17,17.31,-13.89,4.95,2022/12(E),3.49,66.84,1,2.06,1.47,1.05,-0.4,보험업,"손해보험의 원수,재보험,운용자산의 투자활동"
003230,삼양식품,99900,50282,59779,93226,-49.67,-40.16,-6.68,19.63,2022/12(E),0.89,10.12,0,1.01,0.69,0.67,0.91,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매"
005680,삼영전자공업,9190,20578,17837,8185,123.92,94.1,-10.93,2.68,2022/12(E),2.77,58.41,0,1.65,0.89,4.89,1.61,전자부품 제조업,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매"
003720,삼영화학공업,2050,828,484,-728,-59.61,-76.39,-135.5,-4.49,2019/12,NaN,-0.0,0,0.41,0.6,-6.0,1.5,플라스틱제품 제조업,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조"
007610,선도전기,3030,3359,2280,-1524,10.87,-24.77,-150.28,-2.52,2019/12,0.82,-21.01,1,2.47,2.27,0.53,-0.61,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,중전기기 제조,도매/전기공사"
136490,선진,10150,13747,13978,14790,35.44,37.71,45.72,8.73,2019/12,0.53,5.56,1,1.18,-0.75,0.39,0.9,동물용 사료 및 조제식품 제조업,조제동물사료
004490,세방전지,37050,76709,77769,81504,107.04,109.9,119.98,8.58,2019/12,1.34,8.93,0,1.19,1.27,0.52,2.04,일차전지 및 축전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매"
091090,세원셀론텍,2840,1744,927,-1948,-38.6,-67.34,-168.57,-5.46,2019/12,NaN,-0.0,1,5.39,-0.28,-15.62,22.33,"구조용 금속제품, 탱크 및 증기발생기 제조업","화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매"
003620,쌍용자동차,3865,-2719,-6789,-21125,-170.35,-275.66,-646.56,-62.27,2019/12,NaN,-0.0,0,-3.13,-2.76,0.09,0.47,자동차용 엔진 및 자동차 제조업,"자동차,자동차부품,차륜,정비 제조/도소매"
011090,에넥스,1010,532,253,-731,-47.32,-74.98,-172.42,-6.42,2019/12,NaN,-0.0,1,1.8,-4.11,0.32,-4.0,가구 제조업,"씽크상판,주방기기,목재케비넷,유해가스저감장치시설 제조,판매"
012280,영화금속,2440,1038,822,63,-57.47,-66.3,-97.4,0.38,2019/12,NaN,0.0,0,0.54,6.18,1.7,NaN,자동차 신품 부품 제조업,"자동차부품,건축자재(관이음쇠) 제조,판매"
008600,윌비스,1390,-172,-1507,-6206,-112.4,-208.39,-546.5,-30.74,2019/12,NaN,-0.0,2,1.59,-0.44,-1.19,-15.75,생활용품 도매업,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대"
033270,유나이티드,53100,18324,20295,27238,-65.49,-61.78,-48.7,13.76,2019/12,1.8,17.3,0,0.87,0.98,1.11,NaN,의약품 제조업,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조"
023800,인지컨트롤스,11450,8564,6104,-2562,-25.21,-46.69,-122.37,-1.72,2019/12,2.02,-18.35,0,9.36,0.71,7.23,-4.12,자동차 신품 부품 제조업,"자동차부품(터머스위치,터머스탯) 제조"
129260,인터지스,3035,2160,-654,-10564,-28.83,-121.54,-448.08,-14.2,2019/12,NaN,-0.0,1,1.89,-1.27,3.15,2.92,도로 화물 운송업,"화물운송,알선,하역"
081000,일진다이아,52800,12683,12701,12763,-75.98,-75.95,-75.83,8.0,2019/12,1.07,33.63,1,0.99,0.95,3.05,-0.73,기타 화학제품 제조업,"공업용 합성다이아몬드 제조,도매,수출입"
001560,제일연마,6990,8378,8362,8305,19.86,19.63,18.81,7.84,2019/12,2.83,34.38,0,0.98,1.06,1.0,2.89,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설"
002600,조흥,170500,204829,196549,167387,20.13,15.28,-1.83,6.15,2019/12,4.01,45.89,0,0.64,1.16,0.25,NaN,기타 식품 제조업,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매"
071320,지역난방공사,40400,116991,105633,65627,189.58,161.47,62.44,3.94,2022/12(E),NaN,-0.0,0,3.72,26.37,4.47,4.65,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매"
088790,진도,4125,5593,3758,-2704,35.59,-8.89,-165.55,-2.67,2019/12,2.7,-45.66,1,-0.03,0.27,-1.76,-3.18,기타 전문 도매업,"모피제품 제조,가공"
120110,코오롱인더,41900,63903,60997,50760,52.51,45.58,21.15,5.94,2022/12(E),1.81,82.42,0,1.4,2.04,0.71,3.54,화학섬유 제조업,"산업자재, 화학, 필름"
020120,키다리스튜디오,8570,1971,2617,4891,-77.0,-69.47,-42.93,34.84,2022/12(E),NaN,0.0,1,0.2,-6.0,1.14,0.93,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업"
015890,태경산업,5680,8315,8486,9087,46.39,49.4,59.99,8.91,2019/12,6.48,52.41,0,2.04,0.78,5.54,1.74,기초 화학물질 제조업,"제강용 정련제(프락스),카바이드,중질탈산칼슘 제조,판매/고속도로휴게소 운영"
004100,태양금속공업,1075,35,-1273,-5879,-96.78,-218.42,-646.84,-26.3,2019/12,0.35,-0.9,0,1.62,0.17,0.06,10.0,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조"
058430,포스코강판,15800,29293,24059,5623,85.4,52.27,-64.41,1.23,2019/12,2.34,89.69,1,1.11,0.8,-1.15,5.89,1차 철강 제조업,"용융아연도금강판,용융알루미늄도금강판,칼라도장강판,냉연강판 가공,제조,도매"
033180,필룩스,4340,1950,1144,-1696,-55.06,-73.64,-139.07,-4.45,2019/12,NaN,-0.0,1,1.05,-22.9,8.41,-41.5,전자부품 제조업,"전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대"
005430,한국공항,38400,93654,87366,65220,143.89,127.51,69.84,5.07,2019/12,2.21,19.47,0,1.83,0.47,1.8,-0.75,기타 운송관련 서비스업,"항공기 지상조업,항공화물 상하역,장비대여,항공용역사업,항공기급유,항공화물 취급,보관,부정기헬기운송,여행알선,광업,먹는샘물 제조,농축산업"
023350,한국종합기술,4145,5839,3670,-3970,40.86,-11.47,-195.79,-3.61,2019/12,2.55,-30.77,0,1.52,-0.63,-12.0,NaN,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사"
104700,한국철강,6480,13361,11570,5260,106.19,78.54,-18.82,2.65,2019/12,4.23,48.31,0,2.04,1.91,1.17,NaN,1차 철강 제조업,철근. 단조강. 파이프
128940,한미약품,315000,65055,68019,78457,-79.35,-78.41,-75.09,10.18,2022/12(E),0.17,11.14,1,-0.77,0.31,0.12,9.7,의약품 제조업,의약품
009180,한솔로지스틱스,2205,1703,1695,1665,-22.76,-23.14,-24.47,7.71,2019/12,2.61,18.6,0,0.7,0.03,3.08,1.96,기타 운송관련 서비스업,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점"
002220,한일철강,1685,3556,1562,-5464,111.06,-7.32,-424.25,-6.98,2019/12,NaN,-0.0,0,0.84,-1.95,-0.4,-1.63,1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매"
006390,한일현대시멘트,26000,13438,14398,17777,-48.31,-44.62,-31.63,11.59,2019/12,3.28,40.68,0,0.97,1.06,1.16,NaN,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트,시멘트반제품 제조,판매/콘도미니엄,스키장,종합레저관광산업,체육진흥사업,사업서비스"
009460,한창제지,2165,1486,1521,1643,-31.37,-29.77,-24.11,9.05,2019/12,0.65,16.13,0,1.05,0.54,0.95,NaN,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입"
088350,한화생명,2160,12376,10698,4789,472.98,395.3,121.71,2.6,2022/12(E),1.3,25.86,0,3.48,2.53,20.39,4.57,보험업,생명보험
272210,한화시스템,11850,8941,9059,9472,-24.55,-23.56,-20.07,8.55,2022/12(E),3.0,43.91,0,3.33,2.52,4.76,1.65,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조"
267270,현대건설기계,30800,55540,51090,35416,80.32,65.88,14.99,4.57,2022/12(E),NaN,0.0,1,0.08,-0.29,0.98,2.35,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등"
012330,현대모비스,246500,345074,348812,361979,39.99,41.51,46.85,8.44,2022/12(E),1.56,16.76,0,0.96,0.8,1.12,1.86,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)"
004560,현대비앤지스틸,8560,24636,23208,18179,187.8,171.12,112.38,5.43,2019/12,1.11,6.97,0,1.68,0.25,0.98,3.92,1차 철강 제조업,"스텐레스냉연강판,특수강 제조"
017800,현대엘리베이터,40750,24400,25493,29342,-40.12,-37.44,-27.99,10.14,2022/12(E),1.32,50.46,0,0.69,1.18,0.75,1.4,일반 목적용 기계 제조업,"엘리베이터,에스컬레이터,공항,공정,크린룸,병원 물류시스템,수,배송센터,고속소팅시스템,주차설비 제조,판매,보수"
057050,현대홈쇼핑,74500,147830,150474,159786,98.43,101.98,114.48,8.78,2022/12(E),2.48,27.93,0,0.22,0.02,0.25,1.22,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작
111110,호전실업,8420,12018,10265,4089,42.73,21.91,-51.43,2.26,2019/12,1.72,76.45,2,-1.19,0.52,0.28,-7.38,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM
051500,CJ프레시웨이,19100,18462,19588,23554,-3.34,2.55,23.32,11.01,2022/12(E),0.87,57.6,0,0.53,1.14,1.35,-0.04,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
245620,EDGC,11150,97,-522,-2699,-99.13,-104.68,-124.2,-23.31,2019/12,NaN,-0.0,0,0.74,0.88,1.09,1.13,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스
083450,GST,16850,13710,16006,24096,-18.64,-5.01,43.0,17.93,2019/12,1.96,10.43,0,0.81,0.22,0.88,1.42,특수 목적용 기계 제조업,"GasScrubber,Chiller"
028150,GS홈쇼핑,140100,184065,191141,216067,31.38,36.43,54.22,9.81,2022/12(E),4.37,38.93,0,0.5,0.33,0.77,1.49,텔레비전 방송업,CATV홈쇼핑
099520,ITX-AI,2590,-130,-476,-1696,-105.01,-118.38,-165.47,-40.71,2019/12,NaN,-0.0,1,-9.75,-0.14,0.17,0.11,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역"
067290,JW신약,5630,839,277,-1704,-85.1,-95.08,-130.26,-8.52,2019/12,1.24,171.43,1,0.78,12.33,3.91,-1.88,의약품 제조업,"매니큐어세트, 손톱깎이"
024120,KB오토시스,6410,9656,10215,12184,50.64,59.36,90.07,10.84,2019/12,3.72,24.73,0,0.93,1.91,1.09,1.5,자동차 신품 부품 제조업,브레이크패드
060720,KH바텍,19000,10724,12898,20552,-43.56,-32.12,8.17,20.8,2022/12(E),NaN,-0.0,0,0.21,1.9,1.56,11.15,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)"
032540,TJ미디어,2970,4401,3468,180,48.19,16.76,-93.93,0.25,2019/12,1.51,78.12,0,2.61,-6.67,1.0,0.5,영상 및 음향기기 제조업,영상음향반주기
051390,YW,3730,5347,4652,2206,43.35,24.73,-40.86,2.79,2019/12,1.33,28.74,2,0.9,-0.15,3.46,-2.26,상품 종합 도매업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비"
024910,경창산업,1995,-903,-3187,-11233,-145.26,-259.77,-663.07,-41.76,2019/12,NaN,-0.0,0,-0.44,4.73,-2.47,-6.96,자동차 신품 부품 제조업,"각종 케이블, 개폐랫치, 리저브탱크, 밴드류, 페달류, 오토트랜스미션부품, 시트용 단품"
198440,고려시멘트,3080,2458,2228,1418,-20.18,-27.65,-53.96,4.07,2019/12,0.49,14.15,0,1.07,0.63,-5.8,NaN,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘"
215000,골프존,71500,45782,56250,93119,-35.97,-21.33,30.24,23.17,2022/12(E),2.98,79.33,0,2.14,1.17,1.22,1.5,소프트웨어 개발 및 공급업,골프시뮬레이터
043650,국순당,4980,7875,5361,-3494,58.13,7.65,-170.15,-2.47,2019/12,3.08,-35.09,0,0.52,1.77,0.72,5.15,알코올음료 제조업,탁주 및 약주
204020,그리티,3210,3098,2663,1127,-3.47,-17.06,-64.89,2.43,2019/12,1.08,33.71,2,-0.54,0.68,-0.59,2.53,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)"
286750,나노브릭,19050,1059,-471,-5860,-94.44,-102.47,-130.76,-15.03,2019/12,NaN,-0.0,0,0.15,0.31,0.93,NaN,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)"
089600,나스미디어,31200,19024,21177,28759,-39.03,-32.13,-7.82,14.11,2022/12(E),1.98,28.03,0,0.43,0.86,1.06,2.53,광고업,광고매체 판매
085910,네오티스,3825,3155,2612,698,-17.52,-31.72,-81.74,1.43,2019/12,6.58,203.25,0,2.33,1.11,0.94,2.29,자동차 신품 부품 제조업,"마이크로비트,샤프트"
007390,네이처셀,9610,1123,961,390,-88.32,-90.0,-95.95,2.31,2019/12,NaN,0.0,0,-7.0,3.08,0.22,NaN,기초 의약물질 및 생물학적 제제 제조업,닥터쥬크르
031390,녹십자셀,41550,8281,9403,13353,-80.07,-77.37,-67.86,15.59,2019/12,0.21,10.99,0,2.66,1.26,1.05,0.88,기초 의약물질 및 생물학적 제제 제조업,항암세포치료제
012340,뉴인텍,2790,303,-146,-1726,-89.16,-105.23,-161.85,-15.23,2019/12,NaN,-0.0,0,-0.88,-0.2,4.0,3.67,전자부품 제조업,콘덴서
085670,뉴프렉스,2425,1554,1040,-771,-35.93,-57.13,-131.8,-2.73,2019/12,NaN,-0.0,0,1.38,1.25,-1.14,-0.38,전자부품 제조업,연성인쇄회로기판
078140,대봉엘에스,11400,7171,7083,6773,-37.09,-37.87,-40.58,7.37,2019/12,0.73,9.67,0,0.92,1.11,0.81,1.1,의약품 제조업,"원료의약품,화장품원료"
290380,대유,13250,6989,6986,6975,-47.26,-47.28,-47.36,7.91,2019/12,2.17,46.04,0,1.01,0.61,1.13,NaN,"비료, 농약 및 살균, 살충제 제조업","4종복합비료, 농약"
290120,대유에이피,7250,5544,6487,9809,-23.53,-10.52,35.3,18.13,2019/12,2.81,27.29,1,0.57,1.52,-0.48,1.96,자동차 신품 부품 제조업,자동차 스티어링휠
003310,대주산업,2560,1297,1165,700,-49.35,-54.5,-72.66,3.77,2019/12,2.13,58.82,1,0.81,-0.53,2.15,1.75,동물용 사료 및 조제식품 제조업,배합사료
023910,대한약품,31250,36089,42326,64294,15.49,35.44,105.74,18.34,2019/12,1.26,8.52,0,0.63,1.24,1.05,NaN,의약품 제조업,수액제
006620,동구바이오제약,22750,11611,13633,20756,-48.96,-40.07,-8.77,18.44,2019/12,0.6,6.36,1,0.71,-0.14,1.55,NaN,의약품 제조업,"피부, 비뇨기과 완제의약품"
099410,동방선기,3875,1421,907,-905,-63.33,-76.6,-123.36,-3.41,2019/12,NaN,-0.0,0,-1.14,-0.0,1.54,NaN,선박 및 보트 건조업,선박용 배관 등
196490,디에이테크놀로지,7120,-202,-2820,-12040,-102.84,-139.61,-269.1,-29.14,2019/12,NaN,-0.0,1,-0.52,0.38,30.57,1.03,특수 목적용 기계 제조업,2차전지설비
066900,디에이피,4395,3921,3543,2213,-10.78,-19.37,-49.64,3.97,2019/12,NaN,0.0,0,4.75,3.01,18.0,NaN,전자부품 제조업,Build-Up PCB(인쇄회로기판)
127120,디엔에이링크,15050,-1254,-2724,-7900,-108.33,-118.1,-152.49,-89.64,2019/12,NaN,-0.0,1,-2.78,0.55,0.22,-0.21,자연과학 및 공학 연구개발업,"유전체분석(EGIS), 개인유전체분석(DNAGPS)"
092070,디엔에프,15350,7079,6091,2614,-53.89,-60.32,-82.97,2.47,2019/12,NaN,0.0,0,1.38,0.55,0.75,NaN,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체)
039840,디오,32250,11622,13464,19954,-63.96,-58.25,-38.13,17.25,2022/12(E),NaN,0.0,0,0.25,1.51,0.28,0.23,의료용 기기 제조업,자동포장기계
196450,디오스텍,411,557,581,666,35.42,41.33,62.15,10.08,2019/12,NaN,0.0,0,9.38,0.93,5.97,-0.77,사진장비 및 광학기기 제조업,휴대폰용카메라렌즈모듈제조
106520,디지탈옵틱,805,-317,-934,-3110,-139.34,-216.07,-486.31,-48.91,2019/12,NaN,-0.0,0,1.13,0.44,-0.62,0.71,사진장비 및 광학기기 제조업,휴대폰 및 차량용 카메라렌즈
033130,디지틀조선,2845,1868,1717,1185,-34.33,-39.64,-58.36,4.54,2019/12,1.38,32.61,0,1.28,0.86,2.07,1.81,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스
060240,룽투코리아,5000,2258,1776,79,-54.84,-64.48,-98.43,0.21,2019/12,NaN,0.0,2,-71.0,0.41,1.52,-4.07,소프트웨어 개발 및 공급업,"모바일게임(열혈강호,검과마법)"
219420,링크제니시스,7060,2540,2169,864,-64.02,-69.27,-87.76,2.26,2019/12,NaN,0.0,0,0.77,1.17,0.5,1.22,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)"
086900,메디톡스,213600,48275,51984,65047,-77.4,-75.66,-69.55,11.9,2022/12(E),0.27,17.72,0,0.65,0.64,1.31,-1.74,기초 의약물질 및 생물학적 제제 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발"
021880,메이슨캐피탈,457,62,-127,-791,-86.44,-127.7,-273.01,-20.06,2020/03,NaN,-0.0,0,-1.38,2.34,-1.72,-20.5,기타 금융업,리스수입
250060,모비스,2675,492,257,-572,-81.6,-90.4,-121.39,-5.64,2019/12,NaN,-0.0,0,0.5,0.2,0.35,inf,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업인수합병
118990,모트렉스,7270,-405,-2440,-9609,-105.57,-133.57,-232.17,-33.13,2019/12,NaN,-0.0,0,0.93,34.75,-7.38,3.27,자동차 신품 부품 제조업,차량용 인포테인먼트
028040,미래SCI,279,-693,-1497,-4329,-348.32,-636.49,-1651.47,-91.36,2019/12,NaN,-0.0,0,0.42,3.14,-1.4,0.5,상품 중개업,규사
207760,미스터블루,10350,2388,2880,4613,-76.93,-72.18,-55.43,21.1,2022/12(E),0.34,5.09,0,0.92,1.58,1.24,0.58,기타 정보 서비스업,"온라인 만화 콘텐츠 서비스 및 제공, 만화 출판"
214610,미코바이오메드,11950,-525,-964,-2507,-104.4,-108.06,-120.98,-349.95,2019/12,NaN,-0.0,1,0.66,0.81,0.89,-3.04,의료용 기기 제조업,체외진단용 의료기기
206640,바디텍메드,25350,5741,7707,14629,-77.35,-69.6,-42.29,37.07,2022/12(E),0.52,10.06,0,0.31,0.82,1.15,0.75,의료용품 및 기타 의약 관련제품 제조업,기업인수합병
053030,바이넥스,29450,5478,5796,6916,-81.4,-80.32,-76.52,10.85,2021/12(E),NaN,0.0,0,-1.08,1.97,0.96,1.64,의약품 제조업,"정장제, 소화제"
337930,브랜드엑스코퍼레이션,12000,1493,2056,4038,-87.56,-82.87,-66.35,42.99,2022/12(E),NaN,0.0,0,NaN,0.76,0.57,NaN,기타 정보 서비스업,"애슬레저의류, 생활/청결 용품"
023600,삼보판지,8860,23974,25480,30784,170.59,187.59,247.45,11.11,2019/12,1.52,7.03,1,-0.04,1.3,1.13,1.33,"펄프, 종이 및 판지 제조업","골판지,골판지상자"
