code,name,현재가,매수가격,적정가격,매도가격,매수가격예상수익률(%),적정가격예상수익률(%),매도가격예상수익률(%),ROE(%),ROE기준,배당수익률(%),배당성향(%),CF위험(회),CF이익비율-3,CF이익비율-2,CF이익비율-1,CF이익비율0,업종,주요제품
097950,CJ제일제당,367000,313226,324720,365205,-14.65,-11.52,-0.49,9.72,2022/12(E),1.39,37.59,0,1.52,0.57,2.39,1.36,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매"
004840,DRB동일,6950,15147,13172,6215,117.95,89.53,-10.57,2.77,2019/12,1.9,22.47,0,0.59,1.11,1.58,4.27,기타 금융업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매"
039570,HDC아이콘트롤스,9640,10167,10109,9907,5.46,4.87,2.77,7.67,2022/12(E),3.21,-97.77,1,0.42,2.52,-0.35,0.53,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC"
025000,KPX케미칼,53300,103899,109569,129538,94.93,105.57,143.04,10.66,2020/12(E),4.5,29.69,0,1.31,0.9,1.35,2.22,기초 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매"
058860,KTis,2560,4473,4200,3239,74.74,64.08,26.53,5.31,2019/12,3.91,34.09,0,1.37,0.59,2.65,NaN,기타 정보 서비스업,"114전화번호안내, 고객센터"
001120,LG상사,19450,28528,27251,22754,46.67,40.11,16.99,5.97,2022/12(E),1.99,40.71,0,0.85,0.19,1.67,1.46,상품 중개업,"전자,기계,화공,유류.금속,의류 수출입,도소매"
023150,MH에탄올,8790,6232,5068,968,-29.1,-42.34,-88.99,0.99,2019/12,5.7,-492.96,1,0.41,-9.42,1.46,1.14,알코올음료 제조업,"주정,탄산가스 제조"
034120,SBS,19000,33146,34161,37733,74.45,79.79,98.59,9.41,2022/12(E),0.72,13.9,2,4.37,10.8,-4.84,-1.49,텔레비전 방송업,"TV,라디오방송,광고"
017670,SK텔레콤,232000,287486,289876,298292,23.92,24.95,28.57,8.32,2022/12(E),4.2,90.74,0,2.51,3.61,3.59,4.42,전기 통신업,"이동전화,무선호출서비스,부가통신"
035250,강원랜드,23250,18925,20090,24192,-18.6,-13.59,4.05,11.04,2022/12(E),3.04,57.54,0,0.87,0.84,0.81,1.29,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영"
002720,국제약품,10400,2337,1604,-975,-77.53,-84.57,-109.37,-2.33,2019/12,NaN,-0.0,0,0.31,4.0,0.64,0.91,의약품 제조업,"항생제,안약,제약 제조,도매"
001570,금양,5480,533,-220,-2874,-90.27,-104.02,-152.44,-14.85,2019/12,NaN,-0.0,3,-1.69,1.29,-0.07,-1.35,기초 화학물질 제조업,"발포제,사카린,OPTSA,베나졸,TCA 제조"
025860,남해화학,9010,7658,6846,3988,-15.01,-24.02,-55.74,3.62,2019/12,0.74,18.58,0,1.09,0.47,2.96,NaN,"비료, 농약 및 살균, 살충제 제조업","비료(요소,복합비료),공업제품원료 제조,도매"
002350,넥센타이어,5820,14357,13932,12437,146.68,139.39,113.7,6.61,2022/12(E),1.15,9.25,0,1.38,0.86,1.41,20.17,고무제품 제조업,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조"
058730,다스코,5540,6534,5426,1525,17.95,-2.05,-72.48,1.51,2019/12,NaN,0.0,1,-0.65,1.3,3.55,-2.15,"구조용 금속제품, 탱크 및 증기발생기 제조업","데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업"
069620,대웅제약,97300,37472,31943,12472,-61.49,-67.17,-87.18,2.21,2019/12,0.44,31.6,0,2.66,1.72,1.29,9.42,의약품 제조업,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대"
012510,더존비즈온,102000,14032,15993,22897,-86.24,-84.32,-77.55,15.89,2022/12(E),0.58,28.16,0,0.99,1.15,0.9,1.03,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",응용 소프트웨어 개발 및 공급업
007590,동방아그로,6430,9129,8450,6059,41.97,31.41,-5.77,4.79,2019/12,3.64,52.85,1,1.39,0.4,0.49,-3.47,"비료, 농약 및 살균, 살충제 제조업","농약(잡초발생전 토양처리형 밭잡초약,부메랑,주움,그라목손) 제조,도매"
026960,동서,28800,14252,14879,17086,-50.51,-48.34,-40.67,10.1,2019/12,4.02,50.98,0,2.34,2.21,2.77,2.63,음·식료품 및 담배 도매업,"식품 유통, 다류 및 연포장재 제조 등"
102260,동성코퍼레이션,4370,5166,4235,956,18.21,-3.09,-78.13,1.18,2019/12,3.83,161.29,0,12.76,6.12,0.88,1.48,회사 본부 및 경영 컨설팅 서비스업,NaN
001520,동양,1245,2645,2055,-22,112.42,65.07,-101.74,-0.05,2019/12,2.79,-2000.0,1,-1.15,34.0,-1.48,-16.79,"시멘트, 석회, 플라스터 및 그 제품 제조업",레미콘/건설공사/산업용 송풍기
082640,동양생명,3620,14574,13410,9311,302.59,270.44,157.2,4.58,2019/12,5.75,32.21,0,12.1,24.99,2.98,NaN,보험업,생명보험
006040,동원산업,213500,313429,336524,417865,46.81,57.62,95.72,11.72,2022/12(E),0.95,15.83,0,1.25,0.3,1.0,1.97,어로 어업,"원양어업,수산물가공(참치캔,맛김,어묵,맛살),도소매/음료사업(상쾌한아침)"
003160,디아이,4115,3349,2665,258,-18.61,-35.23,-93.74,0.48,2019/12,1.43,238.1,0,0.54,0.43,2.0,1.24,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업"
013570,디와이,4610,11928,10783,6750,158.75,133.91,46.43,3.98,2019/12,2.66,24.08,0,0.55,1.15,1.81,1.9,기타 금융업,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조"
026890,디피씨,10100,3614,3546,3307,-64.22,-64.89,-67.26,7.08,2019/12,1.55,31.25,2,-0.8,0.69,-0.89,1.03,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전자레인지용 고압변성기,리엑터,디지탈위성방송수신기 제조"
004000,롯데정밀화학,59400,61419,64089,73490,3.4,7.89,23.72,10.07,2022/12(E),3.77,26.05,0,1.7,1.3,1.36,1.99,기초 화학물질 제조업,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조"
286940,롯데정보통신,36950,27971,29939,36868,-24.3,-18.98,-0.22,11.53,2022/12(E),1.7,19.03,2,-1.92,2.75,2.86,-1.15,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI"
090370,메타랩스,1165,-660,-1830,-5947,-156.69,-257.04,-610.5,-52.79,2019/12,NaN,-0.0,1,0.53,0.78,2.0,-0.07,봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조"
017180,명문제약,6220,157,-1420,-6975,-97.48,-122.83,-212.14,-24.55,2019/12,NaN,-0.0,0,1.07,2.33,0.2,0.32,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매"
009680,모토닉,11900,10495,9091,4146,-11.81,-23.61,-65.16,2.66,2019/12,3.39,87.21,0,1.48,3.69,3.08,2.52,자동차 신품 부품 제조업,"자동차용 기화기(캬브레타,다이캐스트,연료펌프) 제조,판매"
134380,미원화학,62200,52513,57094,73228,-15.57,-8.21,17.73,12.51,2019/12,2.24,16.22,0,1.06,1.55,1.37,NaN,기타 화학제품 제조업,"계면활성제, 황산및분황"
002410,범양건영,5130,4829,6341,11667,-5.87,23.6,127.42,32.82,2019/12,NaN,0.0,0,1.35,3.37,0.78,0.96,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사"
005180,빙그레,55800,57657,57420,56583,3.33,2.9,1.4,7.74,2022/12(E),2.59,34.79,0,1.21,1.85,1.37,1.34,낙농제품 및 식용빙과류 제조업,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조"
018260,삼성에스디에스,179000,91235,96230,113825,-49.03,-46.24,-36.41,10.67,2022/12(E),1.23,25.22,0,1.14,1.36,0.9,1.15,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO"
029780,삼성카드,34600,58348,57463,54345,68.64,66.08,57.07,7.24,2022/12(E),4.15,53.87,2,-2.01,-0.84,2.61,0.65,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매"
002170,삼양통상,64000,121367,130246,161518,89.64,103.51,152.37,11.69,2019/12,1.67,6.79,0,1.08,1.33,1.06,0.48,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역"
002810,삼영무역,14150,20552,21320,24023,45.25,50.67,69.78,9.75,2019/12,2.1,17.16,0,0.13,1.31,0.89,1.17,기타 전문 도매업,"화공약품, 안경렌즈"
009770,삼정펄프,29750,61739,52634,20563,107.53,76.92,-30.88,2.21,2019/12,NaN,0.0,0,0.95,-0.42,2.51,NaN,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매"
248170,샘표식품,46300,44841,52722,80479,-3.15,13.87,73.82,18.57,2019/12,0.59,3.41,0,1.65,1.23,1.37,0.74,기타 식품 제조업,간장
200880,서연이화,4815,12714,5268,-20956,164.05,9.42,-535.22,-7.35,2019/12,2.03,-5.81,1,-11.55,-2.52,8.75,10.17,자동차 신품 부품 제조업,자동차 도어 트림 및 시트
003080,성보화학,4310,5259,3706,-1764,22.01,-14.02,-140.92,-1.91,2019/12,3.03,-94.41,1,-1.64,27.33,0.84,-0.96,"비료, 농약 및 살균, 살충제 제조업","완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매"
308170,센트랄모텍,23950,10635,10100,8214,-55.59,-57.83,-65.71,5.74,2019/12,NaN,0.0,0,0.72,1.66,1.95,2.34,자동차 신품 부품 제조업,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬"
004430,송원산업,15000,17216,16638,14604,14.77,10.92,-2.64,6.44,2020/12(E),0.96,10.36,0,1.01,1.07,1.32,1.21,기타 화학제품 제조업,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조"
011930,신성이엔지,3825,628,642,691,-83.59,-83.22,-81.94,8.99,2020/12(E),NaN,0.0,0,2.95,10.6,0.92,0.48,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비"
031430,신세계인터내셔날,160500,92497,99150,122582,-42.37,-38.22,-23.62,11.62,2022/12(E),0.5,10.62,0,0.55,1.92,1.22,5.2,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매"
031440,신세계푸드,60600,76218,72343,58692,25.77,19.38,-3.15,5.72,2022/12(E),1.07,66.73,0,2.81,1.09,1.3,12.53,음식점업,"단체급식, 식자재유통, 외식"
001770,신화실업,20400,25483,23476,16407,24.92,15.08,-19.58,4.62,2019/12,0.52,12.61,0,0.53,1.91,2.5,NaN,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매"
004920,씨아이테크,964,285,-348,-2577,-70.44,-136.1,-367.37,-18.15,2019/12,NaN,-0.0,0,-0.31,0.25,0.06,0.68,그외 기타 제품 제조업,"컴퓨터 소프트웨어,하드웨어 서버,도매"
183190,아세아시멘트,65200,176913,155865,81731,171.34,139.06,25.35,3.16,2020/12(E),1.97,20.96,0,1.07,1.13,1.36,0.72,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 몰탈"
018250,애경산업,25700,13680,14329,16615,-46.77,-44.24,-35.35,10.28,2022/12(E),1.58,28.46,2,-0.13,0.52,0.53,-0.52,기타 화학제품 제조업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등"
244920,에이플러스에셋,6610,3277,4016,6618,-50.42,-39.24,0.12,22.86,2019/12,NaN,0.0,0,0.85,0.9,1.72,1.12,보험 및 연금관련 서비스업,보험대리 및 중개업
181710,엔에이치엔,74400,77482,75065,66551,4.14,0.89,-10.55,6.54,2022/12(E),NaN,0.0,1,-1.25,0.56,1.24,0.77,소프트웨어 개발 및 공급업,한게임
011330,유니켐,1380,1678,2029,3263,21.61,47.01,136.46,21.34,2019/12,NaN,0.0,1,0.58,-0.52,0.33,0.63,"가죽, 가방 및 유사제품 제조업","피혁 제조,도매,무역,부동산임대"
025820,이구산업,1785,2056,1326,-1244,15.19,-25.69,-169.69,-3.26,2019/12,1.69,-30.0,1,-0.15,6.0,9.5,NaN,1차 비철금속 제조업,"동판.조,황동판.조,인청동판.조 제조,임가공/부동산 임대"
084680,이월드,3460,2493,2316,1691,-27.94,-33.07,-51.13,4.91,2019/12,NaN,0.0,0,1.24,1.26,1.05,NaN,유원지 및 기타 오락관련 서비스업,"놀이시설 운영,입장료,식음료 소매,부동산 임대"
003120,일성신약,79700,107864,91292,32923,35.34,14.54,-58.69,2.01,2019/12,0.91,29.69,0,3.92,6.57,-3.38,NaN,의약품 제조업,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매"
194370,제이에스코퍼레이션,7350,9555,7898,2061,30.01,7.46,-71.96,1.39,2020/12(E),3.98,81.3,1,-0.03,1.47,1.86,1.76,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑
